Tag, Times Used
too many people to tag, 2
this is a good one, 2
minerva mcgonagall, 2
james potter, 2
sirius black, 2
marauders, 2
reblog, 2
chat, 2
gryffindor, 2
Hufflepuff, 2
slytherin, 2
godrick gryffindor, 2
Helena hufflepuff, 2
Salazar slytherin, 2
text, 2
gold, 2
potter, 6
Severus snape, 2
Voldemort, 2
snape, 2
dumbledore, 2
non hp, 2
thanks!!!, 2
Potter, 2
but like you know he so would omg, 2
malfoy, 2
claps if you get the reference, 2
coz she introduced me to this and my life has now changed forever, 2
the real questions in life, 2
